state,city,lat,lng
AL,Acmar,33.584132,-86.51557
AL,Adamsville,33.588437,-86.959727
AL,Adger,33.434277,-87.167455
AL,Keystone,33.236868,-86.812861
AL,New Site,32.941445,-85.951086
AL,Alpine,33.331165,-86.208934
AL,Arab,34.328339,-86.489638
AL,Baileyton,34.268298,-86.621299
AL,Bessemer,33.409002,-86.947547
AL,Hueytown,33.414625,-86.999607
AL,Blountsville,34.092937,-86.568628
AL,Bremen,33.973664,-87.004281
AL,Brent,32.93567,-87.211387
AL,Brierfield,33.042747,-86.951672
AL,Calera,33.1098,-86.755987
AL,Centreville,32.950324,-87.11924
AL,Chelsea,33.371582,-86.614132
AL,Coosa Pines,33.266928,-86.337622
AL,Clanton,32.835532,-86.642472
AL,Cleveland,33.992106,-86.559355
AL,Columbiana,33.176964,-86.616145
AL,Crane Hill,34.082117,-87.048395
AL,Cropwell,33.506448,-86.280026
AL,Cullman,34.176146,-86.829777
AL,Dolomite,33.465424,-86.956435
AL,Dora,33.734947,-87.040148
AL,Empire,33.825589,-87.016139
AL,Fairfield,33.473494,-86.918262
AL,Coalburg,33.611283,-86.813614
AL,Gardendale,33.71891,-86.822481
AL,Goodwater,33.074642,-86.078149
AL,Alden,33.63356,-86.948221
AL,Hanceville,34.051569,-86.784844
AL,Harpersville,33.36746,-86.429441
AL,Hayden,33.885806,-86.81767
AL,Helena,33.316978,-86.813786
AL,Holly Pond,34.190085,-86.617441
AL,Jemison,32.980539,-86.718052
AL,Joppa,34.283739,-86.551939
AL,Kellyton,32.979068,-86.048397
AL,Kimberly,33.768355,-86.808417
AL,Leeds,33.528333,-86.574824
AL,Lincoln,33.605913,-86.111152
AL,Logan,34.184079,-87.038115
AL,Mc Calla,33.284546,-87.102379
AL,Maylene,33.231694,-86.872745
AL,Montevallo,33.124765,-86.862228
AL,Morris,33.739172,-86.772551
AL,Mount Olive,33.67678,-86.87171
AL,Sylvan Springs,33.540696,-87.043998
AL,Odenville,33.675611,-86.408952
AL,Oneonta,33.925858,-86.474118
AL,Indian Springs,33.31046,-86.806176
AL,Pell City,33.597889,-86.343151
AL,Dixiana,33.708131,-86.656542
AL,Pleasant Grove,33.488336,-86.976586
AL,Quinton,33.656065,-87.10066
