Letter,English,Welsh
A,0.083441721,0.094335819
B,0.015407704,0.018343076
C,0.027313657,0.029127192
D,0.04142071,0.099576698
E,0.126063032,0.083753276
F,0.020310155,0.031445273
G,0.019209605,0.034368071
H,0.061130565,0.039004233
I,0.067133567,0.07034872
J,0.002301151,0.00131022
K,0.008704352,0
L,0.042421211,0.050695424
M,0.025312656,0.024994961
N,0.068034017,0.081838339
O,0.077038519,0.056339448
P,0.016608304,0.009171538
Q,0.00090045,0
R,0.056828414,0.065712558
S,0.061130565,0.029328764
T,0.093746873,0.028623261
U,0.028514257,0.026002822
V,0.010605303,0
W,0.023411706,0.04011288
X,0.002001001,0
Y,0.020410205,0.085567426
Z,0.0006003,0
