ID.Number,College.Name,State,Public.private,Avg.Math.SAT,Avg.Verbal.SAT,Avg.combined.SAT,Avg.ACT,First.quartile...Math.SAT,Third.quartile...Math.SAT,First.quartile...Verbal.SAT,Third.quartile...Verbal.SAT,First.quartile...ACT,Third.quartile...ACT,Num.applications.received,Num.applicants.accepted,Num.students.enrolled,Pct.new.students.from.top.10..of.HS.class,Pct.new.students.from.top.25..of.HS.class,Num.full.time.undergraduates,Num.part.time.undergraduates,In.state.tuition,Out.of.state.tuition,Room.and.Board.costs,Room.costs,Board.costs,Additional.fees,Estimated.book.costs,Estimated.personal.spending,Pct.of.faculty.with.PhDs,Pct.of.faculty.with.terminal.degree,Student.faculty.ratio,Pct.alumni.who.donate,Instructional.expenditure.per.student,Graduation.rate,Private.or.Public,InterQ_Math_SAT,InterQ_Verbal_SAT
1061,Alaska Pacific University,AK,2,490,482,972,20,440,530,430,550,18,22,193,146,55,16,44,249,869,7560,7560,4120,1620,2500,130,800,1500,76,72,11.9,2,10922,15,Private,90,120
1063,University of Alaska at Fairbanks,AK,1,499,462,961,22,NA,NA,NA,NA,NA,NA,1852,1427,928,NA,NA,3885,4519,1742,5226,3590,1800,1790,155,650,2304,67,NA,10,8,11935,NA,Public,NA,NA
1065,University of Alaska Southeast,AK,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146,117,89,4,24,492,1849,1742,5226,4764,2514,2250,34,500,1162,39,51,9.5,NA,9584,39,Public,NA,NA
11462,University of Alaska at Anchorage,AK,1,459,422,881,20,NA,NA,NA,NA,NA,NA,2065,1598,1162,NA,NA,6209,10537,1742,5226,5120,2600,2520,114,580,1260,48,NA,13.7,6,8046,NA,Public,NA,NA
1002,Alabama Agri. & Mech. Univ.,AL,1,NA,NA,NA,17,NA,NA,NA,NA,14,17,2817,1920,984,NA,NA,3958,305,1700,3400,2550,1108,1442,155,500,850,53,53,14.3,NA,7043,40,Public,NA,NA
1003,Faulkner University,AL,2,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,345,320,179,NA,27,1367,578,5600,5600,3250,1550,1700,300,350,NA,52,56,32.8,NA,3971,55,Private,NA,NA
1004,University of Montevallo,AL,1,NA,NA,NA,21,NA,NA,NA,NA,18,23,1351,892,570,18,78,2385,331,2220,4440,3030,NA,NA,124,300,600,72,72,18.9,8,5883,51,Public,NA,NA
1005,Alabama State University,AL,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4639,3272,1278,NA,NA,4051,405,1500,3000,1960,1960,NA,84,500,NA,48,53,18.7,NA,NA,15,Public,NA,NA
1009,Auburn University-Main Campus,AL,1,575,501,1076,24,520,638,453,559,21,27,7548,6791,3070,25,57,16262,1716,2100,6300,3933,NA,NA,NA,600,1908,85,91,16.7,18,6642,69,Public,118,106
1012,Birmingham-Southern College,AL,2,575,525,1100,26,470,680,460,650,23,29,805,588,287,67,88,1376,207,11660,11660,4325,2050,2430,120,400,900,74,79,14,34,8649,72,Private,210,190
1016,University of North Alabama,AL,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1087,702,625,NA,40,3772,1034,1704,2970,2536,1336,1200,20,500,NA,62,68,19.4,5,4944,76,Public,NA,NA
1019,Huntingdon College,AL,2,513,446,959,23,480,570,400,530,20,24,608,520,127,26,47,538,126,8080,8080,3920,1380,2540,100,500,1100,63,72,11.4,9,7703,44,Private,90,130
1020,Jacksonville State University,AL,1,NA,NA,NA,20,NA,NA,NA,NA,17,22,1627,1413,887,NA,NA,5160,1475,1740,2610,2600,1030,1570,85,570,1500,66,67,20.1,6,4604,33,Public,NA,NA
1023,Judson College,AL,2,NA,NA,NA,22,NA,NA,NA,NA,19,24,313,228,137,10,30,552,67,5780,5780,3600,NA,NA,NA,NA,NA,70,70,17.9,27,5159,43,Private,NA,NA
1024,Livingston University,AL,1,NA,NA,NA,19,NA,NA,NA,NA,16,21,1206,957,444,NA,NA,1627,132,1740,1740,2449,1162,1287,243,570,2100,58,58,18.8,4,4272,36,Public,NA,NA
1028,Miles College,AL,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,686,427,242,NA,NA,746,123,4000,4000,2700,1250,1450,NA,600,1000,35,NA,16.7,2,4455,15,Private,NA,NA
1029,University of Mobile,AL,2,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,452,331,269,17,54,1417,301,6150,6150,3680,NA,NA,70,550,1200,59,63,16.6,4,5412,52,Private,NA,NA
